Questão,Resposta,Resposta para anotação,Resposta oficial (medicina)
"Qual que faz abaixar a glicose? Está na média durante o dia 350 e 580 à noite. É a insulina NPH ou a regular? Por favor, não respondam ""procure o médico"", estamos com dificuldade com isso, pois tive alta na última quinta-feira de coronavírus. Não estou sabendo lidar, tendo em vista que minha mãe tem também insuficiência renal, que não pode tomar nem comer qualquer coisa que seria indicado à diabetes. Então, repetindo a minha dúvida: qual insulina abaixa glicose, a NPH ou regular? Obrigado.","Há diversos tipos de insulina, sendo as mais comuns no Brasil, a NPH e a regular. O efeito da insulina NPH inicia cerca de 2 horas após a aplicação e tem duração de cerca de 8 a 12 horas. O efeito da insulina regular inicia cerca de 30 min após a aplicação e tem duração de cerca de 5 horas. Ambas atuam abaixando a glicemia (quantidade de açúcar no sangue) e devem ser prescritas por um médico, que deve acompanhar a pessoa com diabetes de perto e ajustar as doses de acordo com a necessidade.","Há diversos tipos de insulina, sendo as mais comuns no Brasil, a NPH e a regular. O efeito da insulina NPH inicia cerca de 2 horas após a aplicação e tem duração de cerca de 8 a 12 horas. O efeito da insulina regular inicia cerca de 30 min após a aplicação e tem duração de cerca de 5 horas. Ambas atuam abaixando a glicemia (quantidade de açúcar no sangue) e devem ser prescritas por um médico, que deve acompanhar a pessoa com diabetes de perto e ajustar as doses de acordo com a necessidade.",ok
A cicatrização de tatuagem e piercing é difícil para quem tem diabetes?,"Quem tem diabetes tem uma chance maior de ter dificuldades na cicatrização, pois as suas veias e artérias (principalmente das pernas e dos pés) costumam não cumprir seu papel tão bem. Além disso, é comum uma pessoa com diabetes ter a polineuropatia sensitiva distal, que a faz perder a sensibilidade nos membros (principalmente nas pernas e os pés) e isso gera uma série de problemas nessas regiões. Esse conjunto de fatores levam a uma maior dificuldade de cicatrização, o que se relaciona à maior chance de uma pessoa com diabetes ter complicações ao realizar cirurgias, tatuagens ou piercings.","Quem tem diabetes tem uma chance maior de ter dificuldades na cicatrização, pois as suas veias e artérias (principalmente das pernas e dos pés) costumam não cumprir seu papel tão bem. Além disso, é comum uma pessoa com diabetes ter a polineuropatia sensitiva distal, que a faz perder a sensibilidade nos membros (principalmente nas pernas e os pés) e isso gera uma série de problemas nessas regiões. Esse conjunto de fatores levam a uma maior dificuldade de cicatrização, o que se relaciona à maior chance de uma pessoa com diabetes ter complicações ao realizar cirurgias, tatuagens ou piercings.",ok
A cicatrização de tatuagem e piercing é difícil para quem tem diabetes?,"Quem tem diabetes tem uma chance maior de ter dificuldades na cicatrização, pois as suas veias e artérias (principalmente das pernas e dos pés) costumam não cumprir seu papel tão bem. Além disso, é comum uma pessoa com diabetes ter a polineuropatia sensitiva distal, que a faz perder a sensibilidade nos membros (principalmente nas pernas e os pés) e isso gera uma série de problemas nessas regiões. Esse conjunto de fatores levam a uma maior dificuldade de cicatrização, o que se relaciona à maior chance de uma pessoa com diabetes ter complicações ao realizar cirurgias, tatuagens ou piercings. Por isso, é importante avaliar os riscos do procedimento da sobrancelha definitiva.","Quem tem diabetes tem uma chance maior de ter dificuldades na cicatrização, pois as suas veias e artérias (principalmente das pernas e dos pés) costumam não cumprir seu papel tão bem. Além disso, é comum uma pessoa com diabetes ter a polineuropatia sensitiva distal, que a faz perder a sensibilidade nos membros (principalmente nas pernas e os pés) e isso gera uma série de problemas nessas regiões. Esse conjunto de fatores levam a uma maior dificuldade de cicatrização, o que se relaciona à maior chance de uma pessoa com diabetes ter complicações ao realizar cirurgias, tatuagens ou piercings. Por isso, é importante avaliar os riscos do procedimento da sobrancelha definitiva.",ok
"Bom dia. Me digam, o diabético pode comer todo tipo de carne? Todos os legumes e frutas? Obrigada.","É importante lembrar que tudo em excesso faz mal e, mais importante que comer ou não determinado alimento, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é importante se consultar com um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta que seja ideal para você.","É importante lembrar que tudo em excesso faz mal e, mais importante que comer ou não determinado alimento, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é importante consultar  um nutricionista (gratuitamente no SUS) que poderá montar uma dieta que seja ideal para você.",ok
"Bom dia. Me digam, o diabético pode comer todo tipo de carne? Todos os legumes e frutas? Obrigada.","Pacientes com diabetes podem e devem consumir frutas, desde que esteja dentro da cota calórica e de carboidratos diários. É recomendado que você procure um nutricionista sobre a contagem de carboidratos para adequar sua dieta às suas necessidades individuais. Em geral, frutas como a laranja e a mexerica devem ser consumidas junto com a polpa, ao invés de tomar só o caldo ou fazer um suco, porque assim o açúcar no sangue sobe menos. Já a banana possui um alto índice glicêmico, ou seja, o açucar presente nela é rapidamente absorvido para o sangue. Por esse motivo, ela não é a fruta mais adequada para quem tem diabetes, o que não quer dizer que você não possa consumi-la com moderação!","Pacientes com diabetes podem e devem consumir frutas, desde que esteja dentro da cota calórica e de carboidratos diários. É recomendado que você procure um nutricionista sobre a contagem de carboidratos para adequar sua dieta às suas necessidades individuais. Em geral, frutas como a laranja e a mexerica devem ser consumidas junto com a polpa, ao invés de tomar só o caldo ou fazer um suco, porque assim o açúcar no sangue sobe menos. Já a banana possui um alto índice glicêmico, ou seja, o açucar presente nela é rapidamente absorvido para o sangue. Por esse motivo, ela não é a fruta mais adequada para quem tem diabetes, o que não quer dizer que você não possa consumi-la com moderação!",ok
Quais frutas o diabético pode comer?,"É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades.","É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte  um nutricionista (disponível gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades.",ok
O acúmulo de gordura no fígado é prejudicial à saúde?,"Apesar de não parecer um problema grave, a esteatose hepática (acúmulo de gordura no fígado) é uma condição que deve ser tratada o quanto antes, para evitar que se agrave e resulte na cirrose hepática. Com o acúmulo de gordura nas células hepáticas, o órgão fica sobrecarregado e começa a inflamar. O processo inflamatório vai danificando o fígado e ele vai se enchendo de cicatrizes, perdendo a capacidade de funcionar normalmente. Pode-se chegar a um ponto em que não haverá outra solução além de se realizar um transplante de fígado.","Apesar de não parecer um problema grave, a esteatose hepática (acúmulo de gordura no fígado) é uma condição que deve ser tratada o quanto antes, para evitar que se agrave e resulte na cirrose hepática. Com o acúmulo de gordura nas células hepáticas, o órgão fica sobrecarregado e começa a inflamar. O processo inflamatório vai danificando o fígado e ele vai se enchendo de cicatrizes, perdendo a capacidade de funcionar normalmente. Pode-se chegar a um ponto em que não haverá outra solução além de se realizar um transplante de fígado.",ok
O acúmulo de gordura no fígado é prejudicial à saúde?,"Apesar de não parecer um problema grave, a esteatose hepática (acúmulo de gordura no fígado) é uma condição que deve ser tratada o quanto antes para evitar que se agrave. Esse acúmulo de gordura nas células sobrecarrega e inflama o fígado, que pode perder a sua capacidade de funcionar normalmente. A esteatose é inicialmente assintomática, mas pode, com o tempo, provocar aumento do tamanho do fígado, náuseas, fraqueza e outros sintomas. O seu tratamento envolve perda de peso e mudanças no estilo de vida, como praticar exercícios físicos regularmente e adotar uma dieta balanceada. É muito importante que você procure um médico para avaliar melhor a sua condição.","Apesar de não parecer um problema grave, a esteatose hepática (acúmulo de gordura no fígado) é uma condição que deve ser tratada o quanto antes para evitar que se agrave. Esse acúmulo de gordura nas células sobrecarrega e inflama o fígado, que pode perder a sua capacidade de funcionar normalmente. No início, a esteatose não tem sintomas, mas pode, com o tempo, provocar aumento do tamanho do fígado, náuseas, fraqueza e outros sintomas. O seu tratamento envolve perda de peso e mudanças no estilo de vida, como praticar exercícios físicos regularmente e adotar uma dieta balanceada. É muito importante que você procure um médico para avaliar melhor a sua condição.",ok
Quem tem diabetes pode comer frutas?,"A pessoa com diabetes pode sim comer frutas, mas deve ter em mente que esse alimento contêm frutose, que é um açúcar natural, e por isso, o seu consumo pode elevar a glicemia. Por isso, é necessário que se controle a quantidade a ser consumida para obedecer a cota calórica e de carboidratos diária.","A pessoa com diabetes pode sim comer frutas, mas deve ter em mente que esse alimento contêm frutose, que é um açúcar natural, e por isso, o seu consumo pode elevar a glicemia. Por isso, é necessário que se controle a quantidade a ser consumida para obedecer a cota calórica e de carboidratos diária.",ok
Quem tem diabetes pode comer frutas?,"É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte com um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades. O coco é uma fruta que, se consumida em excesso pode elvar a glicemia, então é importante consumir com moderação.","É importante lembrar que tudo em excesso faz mal e que mais importante que comer ou deixar de comer certos alimentos, é ter uma dieta balanceada com os nutrientes e calorias adequadas para cada pessoa. Por isso, é ideal que se consulte  um nutricionista (que estão disponíveis gratuitamente no SUS) que poderá montar uma dieta ideal para as suas necessidades. O coco é uma fruta que, se consumida em excesso pode elevar a glicemia, então é importante consumir com moderação.",ok
Frutas que o diabético pode e não pode comer?,"As frutas devem ser consumidas por todas as pessoas. Porém esse consumo deve ser feito com moderação, pois esses alimentos possuem um tipo de açúcar e podem aumentar a glicemia (quantidade de açúcar no sangue). Por isso, é importante seguir a recomendação de comer de 3 a 5 porções de frutas por dia. Além disso, não é recomendado que se consuma sucos, pois normalmente eles não possuem tantas fibras o que faz com que tenham um elevado índice glicêmico (o açúcar é absorvido mais rápido), o que não é bom para a pessoa com diabetes.","As frutas devem ser consumidas por todas as pessoas, mas com moderação, pois esses alimentos possuem um tipo de açúcar e podem aumentar a glicemia (quantidade de açúcar no sangue). É importante seguir a recomendação de comer de 3 a 5 porções de frutas por dia. Mas não é recomendado que se consuma sucos, pois normalmente eles não possuem tantas fibras, o que faz com que tenham um elevado índice glicêmico (o açúcar é absorvido mais rápido), o que não é bom para a pessoa com diabetes.",ok
Por que a perda de peso é tão importante? Qual é a melhor maneira de uma pessoa com tipo 2 perder peso?,"A perda de peso é essencial, principalmente logo após o diagnóstico de tipo 2 ou de pré-diabetes. A perda de peso aumenta a sensibilidade à insulina, permitindo que as células usem com mais eficácia a insulina que o corpo continua produzindo. Perder de 5 a 10 quilos já pode gerar muitos benefícios, como a melhora do nível de açúcar no sangue, da pressão arterial e dos níveis de colesterol. Além disso, você pode até vir a tomar menos medicamentos ou doses mais baixas. Para perder peso de forma lenta e constante, mude seu estilo de vida. Os quilos que você afasta ao longo do tempo são os mais importantes para uma vida longa.","Perder peso é essencial, principalmente logo após o diagnóstico de tipo 2 ou de pré-diabetes. A perda de peso aumenta a sensibilidade à insulina, permitindo que as células usem com mais eficácia a insulina que o corpo continua produzindo. Perder de 5 a 10 quilos já pode gerar muitos benefícios, como a melhora do nível de açúcar no sangue, da pressão arterial e dos níveis de colesterol. Além disso, você pode até vir a tomar menos medicamentos ou doses mais baixas. Para perder peso de forma lenta e constante, mude seu estilo de vida. Os quilos que você afasta ao longo do tempo são os mais importantes para uma vida longa.","Sugiro escrever ""diagnóstico de diabetes tipo 2"" em vez de ""diagnóstico de tipo 2""."
Por que a perda de peso é tão importante? Qual é a melhor maneira de uma pessoa com tipo 2 perder peso?,"As chamadas medidas naturais são as mudanças que fazemos no nosso estilo de vida para viver de forma mais saudável. Essas medidas incluem ter uma alimentação balanceada, praticar exercícios físicos regularmente e perder peso.","As chamadas medidas naturais são as mudanças que fazemos no nosso estilo de vida para viver de forma mais saudável. Essas medidas incluem ter uma alimentação balanceada, praticar exercícios físicos regularmente e perder peso.",ok
Como melhorar as defesas do meu organismo?,"Para evitar que o sistema imune fique fragilizado, é importante controlar os níveis de açúcar no sangue, tentando manter o valor da hemoglobina glicada abaixo dos 6,5%. A adoção de uma rotina alimentar saudável e da prática regular de exercícios são duas medidas muito úteis na proteção do sistema de defesa do organismo.","Para evitar que o sistema imune fique fragilizado, é importante controlar os níveis de açúcar no sangue, tentando manter o valor da hemoglobina glicada abaixo dos 6,5%. Uma alimentação saudável e a prática regular de exercícios são duas medidas muito úteis na proteção do sistema de defesa do organismo.",ok
Qual é o melhor momento pra fazer exercícios?,"A melhor hora para se exercitar é quando você puder! Também é importante ter combustível suficiente em seu sistema para garantir sua atividade. Existem orientações gerais: para uma caminhada rápida de 30 minutos, é recomendável ingerir 15 gramas de carboidratos se a glicemia estiver abaixo de 120. Isso significaria que uma pequena fruta ou um iogurte pode funcionar bem, pois contém carboidratos e proteínas. À medida que o tempo de exercício aumenta, também aumenta a necessidade de ingestão. A melhor maneira de determinar suas necessidades e o melhor momento para o exercício é testar antes e depois do exercício.","A melhor hora para se exercitar é quando você puder! Também é importante ter combustível suficiente em seu sistema para garantir sua atividade. Existem orientações gerais: para uma caminhada rápida de 30 minutos, é recomendável ingerir 15 gramas de carboidratos se a glicemia estiver abaixo de 120. Isso significaria que uma pequena fruta ou um iogurte pode funcionar bem, pois contém carboidratos e proteínas. À medida que o tempo de exercício aumenta, também aumenta a necessidade de ingestão. A melhor maneira de determinar suas necessidades e o melhor momento para o exercício é testar antes e depois do exercício.",ok
Quais os melhores tipos de alimentos para levar em viagens?,"É sempre bom preparar lanches saudáveis com antecedência para quando você não for estar em casa por muito tempo. Algumas sugestões são frutas (frescas, secas ou preparadas em potinhos), barrinhas de cereal, mix de nozes, cenourinhas e biscoitos integrais. Lembre de não levar alimentos que precisem de refrigeração, pois eles podem comeaçar a estragar no meio do caminho. E não se esqueça da água!","É sempre bom preparar lanches saudáveis com antecedência para quando você for ficar fora de casa por muito tempo. Algumas sugestões são frutas (frescas, secas ou preparadas em potinhos), barrinhas de cereal, mix de nozes, cenourinhas e biscoitos integrais. Lembre de não levar alimentos que precisem de refrigeração, pois eles podem comeaçar a estragar no meio do caminho. E não se esqueça da água!",ok
Eu tenho diabetes tipo 2 e há seis meses ando de 6 a 8 quilômetros todas as noites. Como é que eu não estou perdendo peso?,"O tecido magro pesa mais que a gordura, portanto, você não verá o número na balança mudar, mas se sentirá melhor, terá mais energia, melhores níveis de glicose, etc. Com o tempo, o peso começará a diminuir. Continue o exercício. Obtenha ajuda com a sua alimentação se você não tiver certeza sobre como gerenciar a ingestão de alimentos e a diabetes.","O tecido magro pesa mais que a gordura, portanto, você não verá o número na balança mudar, mas se sentirá melhor, terá mais energia, melhores níveis de glicose, etc. Com o tempo, o peso começará a diminuir. Continue o exercício. Procure ajuda com um nutricionista se você não tiver certeza sobre como controlar a alimentação e a diabetes.",ok
Eu tenho diabetes tipo 2 e há seis meses ando de 6 a 8 quilômetros todas as noites. Como é que eu não estou perdendo peso?,"Mesmo se o peso na balança ainda não for o ideal, não desista! A prática regular de exercícios físicos, aliada a uma dieta balanceada, é fundamental para o controle da diabetes e para a perda de peso. Mantenha-se o mais ativo possível e seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se puder seguir uma dieta feita por um nutricionista, melhor ainda! Esses profissionais estão disponíveis gratuitamente para consultas pelo SUS, se você tiver interesse, procure a sua Unidade Básica de Saúde de referência para obter um encaminhamento.","Mesmo se o peso na balança ainda não for o ideal, não desista! A prática regular de exercícios físicos, aliada a uma dieta balanceada, é fundamental para o controle da diabetes e para a perda de peso. Mantenha-se o mais ativo possível e seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se puder seguir uma dieta feita por um nutricionista, melhor ainda! Esses profissionais estão disponíveis gratuitamente para consultas pelo SUS, se você tiver interesse, procure a sua Unidade Básica de Saúde de referência para obter um encaminhamento.",ok
"O diabetes pode impedir alguém de perder peso? Sei que tenho alto risco de desenvolver diabetes, mas, quando faço dieta, não faz diferença e não consigo emagrecer. Pratico muitos esportes e não sou preguiçoso.","O diabetes por si só geralmente não faz com que você retenha peso. Às vezes, os medicamentos que uma pessoa está tomando podem interferir, aumentando o nível de retenção de líquidos. Mantenha-se o mais ativo possível e não desista se o peso na balança ainda não for o ideal. Seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se você conseguir encontrar um nutricionista, ele ou ela pode sugerir a quantidade certa de vitaminas, minerais, carboidratos e proteínas que você deve consumir, o que vai ajudar a guiar sua alimentação.","O diabetes por si só geralmente não faz com que você não perca peso. Às vezes, os medicamentos que uma pessoa está tomando podem interferir, aumentando o nível de retenção de líquidos. Mantenha-se o mais ativo possível e não desista se o peso na balança ainda não for o ideal. Seja honesto consigo mesmo sobre a sua alimentação e nível de atividade. Se você conseguir encontrar um nutricionista, ele ou ela pode sugerir a quantidade certa de vitaminas, minerais, carboidratos e proteínas que você deve consumir, o que vai ajudar a guiar sua alimentação.",ok
"Pessoal, boa noite. Sou nova no grupo e estou amando todas as dicas, sou recém diagnosticada diabética, pai e mãe diabéticos. A ficha caiu e só após o diagnóstico mudei de vez meus hábitos alimentares. Sou vegetariana e comia muito carboidrato. Estou na insulina somente à noite, pois a glicemia de jejum não abaixa, fica sempre entre 108 e 130. Vocês têm alguma dica pra abaixar a glicemia de jejum? Durante o dia fica totalmente dentro. Muito obrigada.","No tratamento da pessoa com diabetes, os valores ideais de glicose no sangue (glicemia) dependem de vários fatores, como a hora do dia em que a medida é feita e quando foi consumida a última refeição. De modo geral, em jejum e antes das refeições, a glicemia alvo está entre 80 e 130. Por outro lado, até 2 horas depois das refeições, tolera-se uma glicemia de até 180. No entanto, essa meta pode ser alterada de acordo com algumas características de cada indivíduo. Nesse sentido, o médico pode optar por fazer um controle mais restrito em pessoas jovens, saudáveis e/ou com pouco tempo de diabetes, buscando valores de glicemia mais baixos. Por outro lado, pode-se tolerar um controle menos restrito em pessoas idosas, com outros problemas de saúde e/ou com longo tempo de diabetes, estabelecendo metas de glicemia mais altas. Portanto, ainda que seu exame esteja dentro das metas acima, pode ser que elas não sejam as mais adequadas para você, por isso é muito importante que você mantenha controle regular com um médico, que irá estabelecer o melhor tratamento para o seu caso.","No tratamento da pessoa com diabetes, os valores ideais de glicose no sangue (glicemia) dependem de vários fatores, como a hora do dia em que a medida é feita e quando foi consumida a última refeição. De modo geral, em jejum e antes das refeições, a glicemia alvo está entre 80 e 130. Por outro lado, até 2 horas depois das refeições, tolera-se uma glicemia de até 180. No entanto, essa meta pode ser alterada de acordo com algumas características de cada indivíduo. O médico pode optar por fazer um controle mais restrito em pessoas jovens, saudáveis e/ou com pouco tempo de diabetes, buscando valores de glicemia mais baixos. Por outro lado, pode-se tolerar um controle menos restrito em pessoas idosas, com outros problemas de saúde e/ou com longo tempo de diabetes, estabelecendo metas de glicemia mais altas. Portanto, ainda que seu exame esteja dentro das metas acima, pode ser que elas não sejam as mais adequadas para você; por isso é muito importante que você mantenha controle regular com um médico, que irá estabelecer o melhor tratamento para o seu caso.",
"Pessoal, boa noite. Sou nova no grupo e estou amando todas as dicas, sou recém diagnosticada diabética, pai e mãe diabéticos. A ficha caiu e só após o diagnóstico mudei de vez meus hábitos alimentares. Sou vegetariana e comia muito carboidrato. Estou na insulina somente à noite, pois a glicemia de jejum não abaixa, fica sempre entre 108 e 130. Vocês têm alguma dica pra abaixar a glicemia de jejum? Durante o dia fica totalmente dentro. Muito obrigada.","Para avaliar as causas desse desbalanço, seria necessário te examinar como um todo e saber toda a sua história médica. Por isso, apesar de o agendamento estar difícil na pandemia, recomendamos que você procure o médico que te acompanha para que ele te oriente e defina se é necessário um ajuste no seu tratamento.","Para avaliar as causas da glicemia de jejum elevada, seria necessário  examinar você como um todo e saber toda a sua história médica. Por isso, recomendamos que você procure o médico que acompanha você para que ele oriente e defina se é necessário um ajuste no seu tratamento.",
A partir de que nível de glicose em jejum eu deveria me preocupar?,"Duas medições em jejum de 126 ou mais diagnosticam diabetes. Se foi por um teste de laboratório, seu médico deve solicitar outra glicemia de jejum para confirmar e um teste de hemoglobina glicada (A1C) para obter seu nível médio durante um período de 3 meses. Enquanto isso, comece a praticar um estilo de vida muito saudável, entendendo em que escolhas alimentares focar. Em poucas palavras, concentre-se em comer muitos vegetais, algumas frutas, legumes, amido e peixe ou quantidades menores de carne magra. SER ATIVO! Essa é a melhor dica para o controle.","Duas medições em jejum de 126 ou mais diagnosticam diabetes. Se foi por um teste de laboratório, seu médico deve solicitar outra glicemia de jejum para confirmar e um teste de hemoglobina glicada (A1C) para obter seu nível médio durante um período de 3 meses. Enquanto isso, comece a praticar um estilo de vida muito saudável, entendendo em que escolhas alimentares focar. Em poucas palavras, concentre-se em comer muitos vegetais, algumas frutas, legumes, amido e peixe ou quantidades menores de carne magra. SER ATIVO! Essa é a melhor dica para o controle.",
"Bom dia. Estou preocupada com a minha diabetes. Estou fazendo tudo: não como doces, evito tudo de carboidratos, e ela não está abaixando mais que 150. Faço a última refeição às 19 horas. Não posso ir no médico porque aqui só atendem com COVID-19. Nossa, estou muito triste.","Lidar com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! As mudanças de estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) são uma parte fundamental do tratamento de qualquer um com diabetes. Para além disso, porém, elas promovem uma mudança em toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionistas que também podem auxiliar nesse processo!","Lidar com uma doença crônica pode ser muito difícil e doloroso. Porém, esse processo também pode ser visto como uma nova chance de se tratar de uma forma mais carinhosa e saudável! As mudanças de estilo de vida (alimentação saudável, prática de exercícios físicos, perda de peso...) são uma parte fundamental do tratamento de qualquer um com diabetes. Para além disso, porém, elas promovem uma mudança em toda a forma de se relacionar com o corpo. Dê uma chance à saúde, é possível controlar o diabetes! Além disso, estão disponíveis gratuitamente pelo SUS profissionais como psicólogos e nutricionistas que também podem auxiliar nesse processo!",
Qual é a influência dos exercícios físicos sobre o equilíbrio de açúcar no organismo?,"Os exercícios físicos podem ser separados em dois grupos, os exercícios aeróbicos e os anaeróbicos (resistidos). Os aeróbicos (ex: andar, correr, nadar, pedalar, dançar) fazem com que os músculos captem mais glicose do sangue a curto e médio prazo. Eles, portanto, diminuem a quantidade de açúcar no sangue (são hipoglicemiantes). Já os anaeróbicos (ex: musculação, sprint, saltos) promovem a liberação de hormônios que aumentam a quantidade de açúcar no sangue (ação hiperglicemiante). Ao aumentar ou manter a glicemia, os exercícios anaeróbicos evitam o acontecimento de episódios de hipoglicemia.","Os exercícios físicos podem ser separados em dois grupos, os exercícios aeróbicos e os anaeróbicos (resistidos). Os aeróbicos (ex: andar, correr, nadar, pedalar, dançar) fazem com que os músculos captem mais glicose do sangue a curto e médio prazo. Eles, portanto, diminuem a quantidade de açúcar no sangue (são hipoglicemiantes). Já os anaeróbicos (ex: musculação, sprint, saltos) promovem a liberação de hormônios que aumentam a quantidade de açúcar no sangue (ação hiperglicemiante). Ao aumentar ou manter a glicemia, os exercícios anaeróbicos evitam o acontecimento de episódios de hipoglicemia.",
Gostaria de saber se é verdade que os exercícios físicos não ajudam a abaixar a diabetes.,"A atividade física promove muitos benefícios físicos e mentais, incluindo a perda de peso, por isso faz parte do tratamento básico do diabetes. Porém, sem ter uma alimentação saudável e realizar o uso adequado dos medicamentos normalmente não é possível abaixar a glicemia (quantidade de açúcar no sangue). A recomendação da Sociedade Brasileira de Diabetes é que os adultos com diabetes, se não apresentarem contraindicações, devem realizar no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, e com intervalos sem atividade física não ultrapassando 2 dias. É importante sempre conversar com seu médico sobre qual atividade física você deseja realizar ou está realizando, para que ele avalie se existe alguma contraindicação. Se não existir, você pode realizar a atividade física que você mais goste!","A atividade física promove muitos benefícios físicos e mentais, incluindo a perda de peso, por isso faz parte do tratamento básico do diabetes. Porém, sem ter uma alimentação saudável e realizar o uso adequado dos medicamentos normalmente não é possível abaixar a glicemia (quantidade de açúcar no sangue). A recomendação da Sociedade Brasileira de Diabetes é que os adultos com diabetes, se não apresentarem contraindicações, devem realizar no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, e com intervalos sem atividade física não ultrapassando 2 dias. É importante sempre conversar com seu médico sobre qual atividade física você deseja realizar ou está realizando, para que ele avalie se existe alguma contraindicação. Se não existir, você pode realizar a atividade física que você mais goste!",
Qual exercício físico vocês fazem?,"A Sociedade Brasileira de Diabetes recomenda que adultos com diabetes realizem no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, sem ficar mais de 2 dias seguidos sem se exercitar. Essa recomendação, no entanto, só vale para quem não tiver nenhum impedimento de realizar atividades físicas.
 Antes de começar a realizar qualquer atividade física, é importante conversar com o seu médico. Ele irá avaliar o seu caso e dizer se existe alguma limitação em relação aos exercícios que você deseja praticar. Se não existir, você pode realizar a atividade física que você mais goste!","A Sociedade Brasileira de Diabetes recomenda que adultos com diabetes realizem no mínimo 150 minutos de atividades físicas por semana. Estes 150 minutos podem ser divididos em no mínimo 3 dias da semana, sem ficar mais de 2 dias seguidos sem se exercitar. Essa recomendação, no entanto, só vale para quem não tiver nenhum impedimento de realizar atividades físicas.
 Antes de começar a realizar qualquer atividade física, é importante conversar com o seu médico. Ele irá avaliar o seu caso e dizer se existe alguma limitação em relação aos exercícios que você deseja praticar. Se não existir, você pode realizar a atividade física que você mais goste!",
Como faço para impedir o avanço da esteatose hepática?,"Felizmente, a forma de se reverter o quadro de esteatose hepática não é complicada. A busca pelo emagrecimento por meio da prática de exercícios físicos e alimentação balanceada é uma medida que não apenas diminui a quantidade de gordura no fígado, mas também é fundamental no tratamento do diabetes tipo 2. A esteatose hepática pode ser identificada por meio de exames médicos, e, para pessoas com diabetes tipo 2, é sempre importante manter um olho atento em como anda o seu fígado.","Felizmente, a forma de se reverter o quadro de esteatose hepática não é complicada. A busca pelo emagrecimento por meio da prática de exercícios físicos e alimentação balanceada é uma medida que não apenas diminui a quantidade de gordura no fígado, mas também é fundamental no tratamento do diabetes tipo 2. A esteatose hepática pode ser identificada por meio de exames médicos, e, para pessoas com diabetes tipo 2, é sempre importante manter um olho atento em como anda o seu fígado.",
"Boa noite, queridos! Alguém tem neuropatia diabética? O que tomam para aliviar dores ou curar? Qual médico procurar para o tratamento?","O primeiro passo no tratamento da neuropatia é controlar a quantidade de açúcar no sangue (glicemia) e impedir o avanço da neuropatia. É preciso também ter muito cuidado com os pés: não ficar descalço, evitar sapatos de bico apertado, utilizar tênis confortáveis e dar sempre uma olhada no pé todo em busca de feridas ou infecções. Se você já possui alguma ferida ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento. É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.","O primeiro passo no tratamento da neuropatia é controlar a quantidade de açúcar no sangue (glicemia) e impedir o avanço da neuropatia. É preciso também ter muito cuidado com os pés: não ficar descalço, evitar sapatos de bico apertado, utilizar tênis confortáveis e dar sempre uma olhada no pé todo em busca de feridas ou infecções. Se você já possui alguma ferida ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento. É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.",
