#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Relaes|value
#T_RL=webanno.custom.Relaes2|value|BT_webanno.custom.Relaes


#Text=Formigamento nas pernas pode ser provocado pela neuropatia diabética. Essa complicação costuma afetar os membros (pés, pernas, mãos e braços). Começa com dor em queimação e  piora até perder a sensibilidade (dificuldade de sentir o toque). O primeiro passo no tratamento da neuropatia é controlar a quantidade de açúcar no sangue (glicemia) e impedir o avanço da neuropatia. É preciso também ter muito cuidado com os pés: não ficar descalço, evitar sapatos de bico apertado, utilizar tênis confortáveis e dar sempre uma olhada no pé todo em busca de feridas ou infecções. Se você já tem alguma ferida ou dor crônica existem tratamentos farmacológicos (remédios) que podem auxiliar no controle da dor, mas que devem ser prescritos pelo médico que faz o seu acompanhamento. É muito importante que você agende uma consulta com o seu médico para que ele possa avaliar a sua situação e propor algum tratamento, se possível.
1-1	0-12	Formigamento	Symptom[1]	has	1-8[2_1]	
1-45	238-239	.	_	_	_	
1-46	240-241	O	_	_	_	
1-47	242-250	primeiro	_	_	_	
1-48	251-256	passo	_	_	_	
1-49	257-259	no	_	_	_	
1-50	260-270	tratamento	_	_	_	
1-51	271-273	da	_	_	_	
1-52	274-284	neuropatia	Complication	treats|prevents|prevents|prevents|prevents|prevents	1-54[6_0]|1-76[7_0]|1-81[8_0]|1-85[9_0]|1-91[10_0]|1-98[11_0]	
1-53	285-286	é	_	_	_	
1-54	287-296	controlar	NonMedicalTreatment[6]	_	_	
1-55	297-298	a	NonMedicalTreatment[6]	_	_	
1-56	299-309	quantidade	NonMedicalTreatment[6]	_	_	
1-57	310-312	de	NonMedicalTreatment[6]	_	_	
1-58	313-319	açúcar	NonMedicalTreatment[6]	_	_	
1-59	320-322	no	NonMedicalTreatment[6]	_	_	
1-60	323-329	sangue	NonMedicalTreatment[6]	_	_	
1-61	330-331	(	_	_	_	
1-62	331-339	glicemia	_	_	_	
1-63	339-340	)	_	_	_	
1-64	341-342	e	_	_	_	
1-65	343-350	impedir	_	_	_	
1-66	351-352	o	_	_	_	
1-67	353-359	avanço	_	_	_	
1-68	360-362	da	_	_	_	
1-69	363-373	neuropatia	_	_	_	
1-70	373-374	.	_	_	_	
1-71	375-376	É	_	_	_	
1-72	377-384	preciso	_	_	_	
1-73	385-391	também	_	_	_	
1-74	392-395	ter	_	_	_	
1-75	396-401	muito	_	_	_	
1-76	402-409	cuidado	NonMedicalTreatment[7]	_	_	
1-77	410-413	com	NonMedicalTreatment[7]	_	_	
1-78	414-416	os	NonMedicalTreatment[7]	_	_	
1-79	417-420	pés	NonMedicalTreatment[7]	_	_	
1-80	420-421	:	_	_	_	
1-81	422-425	não	NonMedicalTreatment[8]	_	_	
1-82	426-431	ficar	NonMedicalTreatment[8]	_	_	
1-83	432-440	descalço	NonMedicalTreatment[8]	_	_	
1-84	440-441	,	_	_	_	
1-85	442-448	evitar	NonMedicalTreatment[9]	_	_	
1-86	449-456	sapatos	NonMedicalTreatment[9]	_	_	
1-87	457-459	de	NonMedicalTreatment[9]	_	_	
1-88	460-464	bico	NonMedicalTreatment[9]	_	_	
1-89	465-473	apertado	NonMedicalTreatment[9]	_	_	
1-90	473-474	,	_	_	_	
1-91	475-483	utilizar	NonMedicalTreatment[10]	_	_	
1-92	484-489	tênis	NonMedicalTreatment[10]	_	_	
1-93	490-502	confortáveis	NonMedicalTreatment[10]	_	_	
1-94	503-504	e	_	_	_	
1-95	505-508	dar	_	_	_	
1-96	509-515	sempre	_	_	_	
1-97	516-519	uma	_	_	_	
1-98	520-526	olhada	NonMedicalTreatment[11]	_	_	
1-99	527-529	no	NonMedicalTreatment[11]	_	_	
1-100	530-532	pé	NonMedicalTreatment[11]	_	_	
1-101	533-537	todo	NonMedicalTreatment[11]	_	_	
1-102	538-540	em	NonMedicalTreatment[11]	_	_	
1-103	541-546	busca	NonMedicalTreatment[11]	_	_	
1-104	547-549	de	NonMedicalTreatment[11]	_	_	
1-105	550-557	feridas	NonMedicalTreatment[11]	_	_	
1-106	558-560	ou	NonMedicalTreatment[11]	_	_	
1-107	561-570	infecções	NonMedicalTreatment[11]	_	_	
1-108	570-571	.	_	_	_	
1-109	572-574	Se	_	_	_	
1-110	575-579	você	_	_	_	
1-111	580-582	já	_	_	_	
1-112	583-586	tem	_	_	_	
1-113	587-593	alguma	_	_	_	
1-114	594-600	ferida	_	_	_	
1-115	601-603	ou	_	_	_	
1-116	604-607	dor	_	_	_	
1-117	608-615	crônica	_	_	_	
1-118	616-623	existem	_	_	_	
1-119	624-635	tratamentos	_	_	_	
1-120	636-650	farmacológicos	_	_	_	
1-121	651-652	(	_	_	_	
1-122	652-660	remédios	_	_	_	
1-123	660-661	)	_	_	_	
1-124	662-665	que	_	_	_	
1-125	666-671	podem	_	_	_	
1-126	672-680	auxiliar	_	_	_	
1-127	681-683	no	_	_	_	
1-128	684-692	controle	_	_	_	
1-129	693-695	da	_	_	_	
1-130	696-699	dor	_	_	_	
1-131	699-700	,	_	_	_	
1-132	701-704	mas	_	_	_	
1-133	705-708	que	_	_	_	
1-134	709-714	devem	_	_	_	
1-135	715-718	ser	_	_	_	
1-136	719-729	prescritos	_	_	_	
1-137	730-734	pelo	_	_	_	
1-138	735-741	médico	_	_	_	
1-139	742-745	que	_	_	_	
1-140	746-749	faz	_	_	_	
1-141	750-751	o	_	_	_	
1-142	752-755	seu	_	_	_	
1-143	756-770	acompanhamento	_	_	_	
1-144	770-771	.	_	_	_	
1-145	772-773	É	_	_	_	
1-146	774-779	muito	_	_	_	
1-147	780-790	importante	_	_	_	
1-148	791-794	que	_	_	_	
1-149	795-799	você	_	_	_	
1-150	800-806	agende	_	_	_	
1-151	807-810	uma	_	_	_	
1-152	811-819	consulta	_	_	_	
1-153	820-823	com	_	_	_	
1-154	824-825	o	_	_	_	
1-155	826-829	seu	_	_	_	
1-156	830-836	médico	_	_	_	
1-157	837-841	para	_	_	_	
1-158	842-845	que	_	_	_	
1-159	846-849	ele	_	_	_	
1-160	850-855	possa	_	_	_	
1-161	856-863	avaliar	_	_	_	
1-162	864-865	a	_	_	_	
1-163	866-869	sua	_	_	_	
1-164	870-878	situação	_	_	_	
1-165	879-880	e	_	_	_	
1-166	881-887	propor	_	_	_	
1-167	888-893	algum	_	_	_	
1-168	894-904	tratamento	_	_	_	
1-169	904-905	,	_	_	_	
1-170	906-908	se	_	_	_	
1-171	909-917	possível	_	_	_	
1-172	917-918	.	_	_	_	
